Nr,Tytuł ,"Rok bitwy, kampanii lub wojny",Autor,Wydanie,Wikipedia_url,Lat,Lng
86,"Zieleńce–Mir–Dubienka 1792",1792,"Piotr Derdej","2000",https://pl.wikipedia.org/wiki/Bitwa_pod_Dubienk%C4%85_(1792),51.07781388888889,23.866152777777778
87,"Orsza 1514",1514,"Piotr Dróżdż","2000,2014",https://pl.wikipedia.org/wiki/Bitwa_pod_Orsz%C4%85_(1514),54.5,30.383333
88,"Czortków 1919",1919,"Michał Klimecki","2000,2022",https://pl.wikipedia.org/wiki/Czortk%C3%B3w,49.0,25.766666666666666
89,"Quebec 1759",1759,"Jarosław Wojtczak","2000,2021",https://pl.wikipedia.org/wiki/Bitwa_na_R%C3%B3wninie_Abrahama,46.80166666666666,-71.22
90,"Nowy Orlean 1815",1815,"Robert Kłosowicz","2000",https://pl.wikipedia.org/wiki/Bitwa_pod_Nowym_Orleanem,29.9425,-89.99083333333333
91,"Przedmoście Rumuńskie 1939",1939,"Wojciech Włodarkiewicz","2001,2013",https://pl.wikipedia.org/wiki/Bitwa_nad_Bzur%C4%85,52.2333,19.3667
92,"Smoleńsk 1632–1634",1632,"Dariusz Kupisz","2001,2017",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Smole%C5%84ska_(1632%E2%80%931634),54.7833,32.05
93,"Prostki 1656",1656,"Sławomir Augusiewicz","2001",https://pl.wikipedia.org/wiki/Bitwa_pod_Prostkami,53.69888888888889,22.43277777777778
94,"Szack–Wytyczno 1939",1939,"Czesław Grzelak","2001,2022",https://pl.wikipedia.org/wiki/Bitwa_pod_Szackiem,51.4878,23.9297
95,"Strzegom–Dobromierz 1745",1745,"Robert Kisiel","2001",https://pl.wikipedia.org/wiki/Bitwa_pod_Dobromierzem,50.958958333333335,16.294194444444447
96,"Benewent 275 p.n.e.",-275,"Krzysztof Kęciek","2001,2021",https://pl.wikipedia.org/wiki/Bitwa_pod_Benewentem_(275_p.n.e.),41.133333,14.783333
97,"Oliwa 1627",1627,"Eugeniusz Koczorowski","2001,2008",https://pl.wikipedia.org/wiki/Bitwa_pod_Oliw%C4%85,54.46666666666667,18.7
98,"Budapeszt 1944–1945",1944,"Marcin Sowa","2002",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Budapesztu,47.49833,19.04083
99,"Wilno–Grodno–Kodziowce 1939",1939,"Czesław Grzelak","2002",https://pl.wikipedia.org/wiki/Obrona_Wilna_(1939),54.6667,25.3167
100,"Kynoskefalaj 197 p.n.e.",-197,"Krzysztof Kęciek","2002,2009,2021",https://pl.wikipedia.org/wiki/Bitwa_pod_Kynoskefalaj_(197_p.n.e.),39.4167,22.5667
101,"Big Hole 1877",1877,"Jarosław Wojtczak","2002,2022",https://en.wikipedia.org/wiki/Battle_of_the_Big_Hole,45.6475,-113.65083333333334
102,"Łuck 1916",1916,"Stanisław Czerep","2002",https://pl.wikipedia.org/wiki/Bitwa_nad_jeziorem_Narocz,54.853501,26.776143
103,"Cedynia 972",972,"Paweł Rochala","2002,2013",https://pl.wikipedia.org/wiki/Bitwa_pod_Cedyni%C4%85,52.85538888888889,14.157361111111111
104,"Trafalgar 1805",1805,"Józef Dyskant","2002",https://pl.wikipedia.org/wiki/Bitwa_pod_Trafalgarem,36.25,-6.2
105,"Borodino 1812",1812,"Piotr Dróżdż","2003",https://pl.wikipedia.org/wiki/Bitwa_pod_Borodino,55.516666666666666,35.81666666666667
106,"Bannockburn 1314",1314,"Jarosław Wojtczak","2003,2011",https://pl.wikipedia.org/wiki/Bitwa_pod_Bannockburn,56.093333333333334,-3.937777777777778
107,"Lwów 1939",1939,"Wojciech Włodarkiewicz","2003,2007",https://pl.wikipedia.org/wiki/Bitwa_o_Lw%C3%B3w_(1920),49.8425,24.03222222222222
108,"Farsalos 48 p.n.e.",-48,"Romuald Romański","2003,2022",https://pl.wikipedia.org/wiki/Bitwa_pod_Farsalos,39.3,22.383333333333333
109,"Magnezja 190 p.n.e.",-190,"Krzysztof Kęciek","2003,2021",https://pl.wikipedia.org/wiki/Bitwa_pod_Magnezj%C4%85,38.6167,27.433300000000003
110,"Batoche 1885",1885,"Grzegorz Swoboda","2003",https://en.wikipedia.org/wiki/Batoche,52.755,-106.11611111111111
111,"Wietnam 1962–1975",1962,"Artur Dmochowski","2003",https://pl.wikipedia.org/wiki/Wietnam,16.0,108.0
112,"Hastings 1066",1066,"Jacek Soszyński","2003",https://pl.wikipedia.org/wiki/Bitwa_pod_Hastings,50.911944444444444,0.4875
113,"Falaise 1944",1944,"Jadwiga Nadzieja","2003,2022",https://pl.wikipedia.org/wiki/Bitwa_pod_Falaise,48.89277777777778,-0.19194444444444442
114,"Praga 1757",1757,"Robert Kisiel","2003",https://pl.wikipedia.org/wiki/Bitwa_pod_Prag%C4%85,50.076,14.557
115,"Połock 1579",1579,"Dariusz Kupisz","2003,2014",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Po%C5%82ocka,55.48688888888889,28.760805555555557
116,"Warka–Gniezno 1656",1656,"Paweł Skworoda","2003",https://pl.wikipedia.org/wiki/Bitwa_pod_Wark%C4%85,51.7833,21.2
117,"Kłuszyn 1610",1610,"Robert Szcześniak","2004,2008,2016",https://pl.wikipedia.org/wiki/Bitwa_pod_K%C5%82uszynem,55.6575,34.93
118,"Hattin 1187",1187,"Piotr Biziuk","2004,2022",https://pl.wikipedia.org/wiki/Bitwa_pod_Hittin,32.79830555555555,35.45955555555556
119,"Żółte Wody–Korsuń 1648",1648,"Witold Biernacki","2004,2008",https://pl.wikipedia.org/wiki/Bitwa_nad_%C5%BB%C3%B3%C5%82tymi_Wodami,48.48463888888889,33.49611111111111
120,"Pruska Iława 1807",1807,"Tomasz Rogacki","2004",https://pl.wikipedia.org/wiki/Bitwa_pod_Olsztynem,53.86277777777778,20.396944444444443
121,"Ardeny 1944–1945",1944,"Norbert Bączyk","2004,2022",https://pl.wikipedia.org/wiki/Ofensywa_w_Ardenach,50.6243,6.13724
122,"Niemcza 1017",1017,"Paweł Rochala","2004,2017,2025",https://pl.wikipedia.org/wiki/Niemcza,50.715833333333336,16.834999999999997
123,"Malta 1565",1565,"Andrzej Zieliński","2004,2015",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Malty_(1565),35.89194444444444,14.518333333333334
124,"Vicksburg 1862–1863",1862,"Jarosław Wojtczak","2004,2022",https://pl.wikipedia.org/wiki/Vicksburg,32.35,-90.88333333333334
125,"Koronowo 1410",1410,"Piotr Derdej","2004,2008",https://pl.wikipedia.org/wiki/Bitwa_pod_Koronowem,53.3569,17.8111
126,"Powstanie Mahdiego 1881–1899",1881,"Daniel Gazda","2004",https://pl.wikipedia.org/wiki/Bitwa_pod_Omdurmanem,15.751944444444444,32.520133333333334
127,"Tarutino 1812",1812,"Andrzej Dusiewicz","2004",https://pl.wikipedia.org/wiki/Bitwa_pod_Tarutino,55.17722222222222,37.00277777777778
128,"Moskwa 1612",1612,"Tomasz Bohun","2005,2007,2023",https://en.wikipedia.org/wiki/Moscow,55.755833333333335,37.617777777777775
129,"Galicja Wschodnia 1920",1920,"Michał Klimecki","2005",https://pl.wikipedia.org/wiki/Galicja_Wschodnia,49.841889,24.0315
130,"Inczhon–Seul 1950",1950,"Robert Kłosowicz","2005",https://pl.wikipedia.org/wiki/Bitwa_o_Inczon,37.483333333333334,126.63333333333334
131,"Babilon 729–648 p.n.e.",-729,"Piotr Biziuk","2005,2020,2024",https://pl.wikipedia.org/wiki/Bitwa_pod_Karkar_(853_p.n.e.),35.74277777777778,36.330555555555556
132,"Pola Katalaunijskie 451",451,"Daniel Gazda","2005,201",https://pl.wikipedia.org/wiki/Bitwa_na_Polach_Katalaunijskich_(451),49.0,4.5
133,"Las Teutoburski 9 rok n.e.",9,"Paweł Rochala","2005,2008",https://pl.wikipedia.org/wiki/Bitwa_w_Lesie_Teutoburskim,52.408055555555556,8.129444444444445
134,"Magenta–Solferino 1859",1859,"Ryszard Dzieszyński","2005",https://pl.wikipedia.org/wiki/Bitwa_pod_Solferino,45.367222222222225,10.56638888888889
135,"Połonka–Basia 1660",1660,"Marcin Gawęda","2005",https://pl.wikipedia.org/wiki/Po%C5%82onka_(obw%C3%B3d_brzeski),53.14611111111111,25.71333333333333
136,"Siedmiogród 1944",1944,"Marcin Sowa","2005",https://pl.wikipedia.org/wiki/Siedmiogr%C3%B3d,46.766666666666666,23.583333333333332
137,"Zbaraż 1649",1649,"Kacper Śledziński","2005",https://pl.wikipedia.org/wiki/Bitwa_pod_Zborowem,49.69499999999999,25.1344
138,"Tannenberg 1914",1914,"Piotr Szlanta","2005,2010,2022",https://pl.wikipedia.org/wiki/Bitwa_pod_Tannenbergiem,53.49583333333334,20.134444444444444
139,"Detroit 1763",1763,"Aleksander Sudak","2006",https://en.wikipedia.org/wiki/Siege_of_Fort_Detroit,42.32805555555556,-83.04777777777778
140,"Hammerstein 1627",1627,"Paweł Skworoda","2006",https://pl.wikipedia.org/wiki/Bitwa_pod_Czarnem,53.68388888888889,16.939722222222223
141,"Dublin 1916",1916,"Grzegorz Swoboda","2006",https://en.wikipedia.org/wiki/Dublin,53.35,-6.260277777777778
142,"Cajamarca 1532",1532,"Andrzej Tarczyński","2006",https://pl.wikipedia.org/wiki/Bitwa_pod_Cajamarca,-7.156944444444445,-78.5175
143,"Chancellorsville 1863",1863,"Jan Szkudliński","2006",https://pl.wikipedia.org/wiki/Bitwa_pod_Chancellorsville,38.31055555555555,-77.64833333333334
144,"Przemyśl 1656–1657",1656,"Andrzej Borcz","2006,2015",https://pl.wikipedia.org/wiki/Bitwa_pod_Jaros%C5%82awiem_(1656),50.0167,22.666700000000002
145,"Krym 1854–1855",1854,"Michał Klimecki","2006,2022",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Sewastopola_(1854%E2%80%931855),44.62,33.52
146,"Warszawa 1944–1945",1944,"Piotr Rozwadowski","2006",https://pl.wikipedia.org/wiki/Bitwa_pod_Warszaw%C4%85_(1944),52.418055555555554,21.18111111111111
147,"Alezja 52 p.n.e.",-52,"Tomasz Romanowski","2006",https://pl.wikipedia.org/wiki/Bitwa_pod_Alezj%C4%85,47.53722222222222,4.500277777777778
148,"Moskwa 1617–1618",1617,"Andrzej Adam Majewski","2006,2016",https://pl.wikipedia.org/wiki/Bitwa_pod_Mo%C5%BCajskiem_(1618),55.50875,36.01797222222222
149,"Psków 1581–1582",1581,"Dariusz Kupisz","2006,2015",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Pskowa,57.816700000000004,28.3333
150,"Civita Castellana 1798",1798,"Marian Witasek","2007",https://pl.wikipedia.org/wiki/Civita_Castellana,42.28333333333333,12.4
151,"Falklandy–Port Stanley 1982",1982,"Krzysztof Kubiak","2007",https://pl.wikipedia.org/wiki/Bitwa_o_wzg%C3%B3rza_Darwin_i_Goose_Green,-51.82888888888889,-58.969166666666666
152,"Smoleńsk 1812",1812,"Andrzej Dusiewicz","2007",https://pl.wikipedia.org/wiki/Bitwa_pod_Smole%C5%84skiem_(1812),54.78333333333333,32.05
153,"Navarino 1827",1827,"Artur Bojarski","2007",https://pl.wikipedia.org/wiki/Bitwa_pod_Navarino_(1827),36.93583333333333,21.68777777777778
154,"Sand Creek 1864",1864,"Jarosław Wojtczak","2007,2023",https://pl.wikipedia.org/wiki/Masakra_nad_Sand_Creek,38.54944444444444,-102.51138888888889
155,"Cecora 1620",1620,"Kacper Śledziński","2007,2014",https://pl.wikipedia.org/wiki/Cecora,47.13333333333333,27.783333333333335
156,"Adrianopol 378. Rzeka Frigidus 394",378,"Daniel Gazda","2007,2021",https://pl.wikipedia.org/wiki/Bitwa_pod_Adrianopolem,41.8,26.6
157,"Wyprawa sycylijska 415–413 p.n.e.",-415,"Grzegorz Lach","2007",https://pl.wikipedia.org/wiki/Bitwa_morska_pod_Kyme,40.84861111111111,14.053611111111111
158,"Charków–Donbas 1943",1943,"Łukasz Przybyło","2007",https://pl.wikipedia.org/wiki/Bitwa_o_Chark%C3%B3w_(1943),49.96666666666667,36.31666666666667
159,"Sadowa 1866",1866,"Ryszard Dzieszyński","2007",https://pl.wikipedia.org/wiki/Bitwa_pod_Sadow%C4%85,50.21,15.83
160,"Chocim 1673",1673,"Damian Orłowski","2007,2022",https://pl.wikipedia.org/wiki/Bitwa_pod_Chocimiem_(1673),48.5,26.5
161,"Afryka Wschodnia 1914–1918",1914,"Paweł Brudek","2008,2023",https://pl.wikipedia.org/wiki/Niemiecka_Afryka_Wschodnia,-2.4130555555555553,30.54361111111111
162,"Konstantynopol 1453",1453,"Marian Witasek","2008",https://pl.wikipedia.org/wiki/Obl%C4%99%C5%BCenie_Konstantynopola_(1422),41.0167,28.976899999999997
163,"Małojarosławiec 1812",1812,"Rafał Kowalczyk","2008",https://pl.wikipedia.org/wiki/Bitwa_pod_Ma%C5%82ojaros%C5%82awcem,55.02166666666667,36.458333333333336
164,"Powstanie Spartakusa 73–71 p.n.e.",-73,"Bernard Nowaczyk","2008",https://pl.wikipedia.org/wiki/Powstanie_Spartakusa,41.1,14.2
